Advanced Ion Battery (1) <- Pure Ferrite (10) + Sodium Nitrate (10) + Silver (10)	[Advanced Ion Capture]
Gold (125) <- Grantine (1)	[Extreme Alloy Separation]
Gold (125) <- Lemmium (1)	[Extreme Alloy Separation]
Gold (125) <- Magno-Gold (1)	[Extreme Alloy Separation]
Gold (2) <- Faecium (1) + Pugneum (1)	[Pugneum Alchemy]
Grantine (1) <- Dioxite (30) + Cobalt (60) + Gold (10)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Cobalt (60) + Platinum (5)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Cobalt (60) + Silver (20)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Cobalt (60) + Tritium (20)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Ionized Cobalt (30) + Gold (10)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Ionized Cobalt (30) + Platinum (5)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Ionized Cobalt (30) + Silver (20)	[Alloy Latticing]
Grantine (1) <- Dioxite (30) + Ionized Cobalt (30) + Tritium (20)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Cobalt (60) + Gold (10)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Cobalt (60) + Platinum (5)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Cobalt (60) + Silver (20)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Cobalt (60) + Tritium (20)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Ionized Cobalt (30) + Gold (10)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Ionized Cobalt (30) + Platinum (5)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Ionized Cobalt (30) + Silver (20)	[Alloy Latticing]
Herox (1) <- Ammonia (30) + Ionized Cobalt (30) + Tritium (20)	[Alloy Latticing]
Indium (2) <- Indium (1) + Chromatic Metal (1)	[Chromatic Expansion]
Ion Battery (1) <- Ferrite Dust (10) + Silver (10) + Sodium (10)	[Ion Capture]
Ionized Cobalt (1) <- Cobalt (2)	[Ionize Mineral]
Ionized Cobalt (150) <- TetraCobalt (1)	[Cobalt Cracking]
Ionized Cobalt (2) <- Marrow Bulb (1) + Cobalt (1)	[Ionize Bulbs]
Ionized Cobalt (2) <- Marrow Bulb (1) + Ionized Cobalt (1)	[Ionize Bulbs]
Ionized Cobalt (2) <- Marrow Bulb (1) + Oxygen (1)	[Bonded Cobalt Extraction]
Ionized Cobalt (2) <- Marrow Bulb (1) + Pugneum (1)	[Pugneum Washing]
Ionized Cobalt (5) <- Cobalt (2) + Oxygen (2)	[Efficient Cobalt Ionization]
Ionized Cobalt (6) <- Ionized Cobalt (1) + Oxygen (2)	[Efficient Cobalt Ionization]
Kelp Sac (1) <- Salt (1) + Nitrogen (1)	[Encourage Growth]
Lemmium (1) <- Uranium (30) + Ferrite Dust (120) + Gold (10)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Ferrite Dust (120) + Platinum (5)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Ferrite Dust (120) + Silver (20)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Ferrite Dust (120) + Tritium (20)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Pure Ferrite (60) + Gold (10)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Pure Ferrite (60) + Platinum (5)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Pure Ferrite (60) + Silver (20)	[Alloy Latticing]
Lemmium (1) <- Uranium (30) + Pure Ferrite (60) + Tritium (20)	[Alloy Latticing]
Life Support Gel (1) <- Oxygen (10) + Condensed Carbon (10) + Di-hydrogen (10)	[Advanced Oxygen Capture]
Living Slime (1) <- Viscous Fluids (1)	[Recycle Waste Materials]
Living Slime (50) <- Hypnotic Eye (1)	[Biological Purge]
Magnetized Ferrite (1) <- Copper (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (1) <- Ferrite Dust (1) + Carbon (1)	[Carbonize Metal]
Magnetized Ferrite (1) <- Pure Ferrite (2)	[Magnetize Metal]
Magnetized Ferrite (10) <- Platinum (1) + Oxygen (1)	[Mineral Alchemy]
Magnetized Ferrite (12) <- Ferrite Dust (1) + Pure Ferrite (1) + Platinum (1)	[Deep Metal Compression]
Magnetized Ferrite (2) <- Activated Copper (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (2) <- Cadmium (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (2) <- Ferrite Dust (1) + Condensed Carbon (1)	[Carbonize Metal]
Magnetized Ferrite (2) <- Pure Ferrite (1) + Carbon (1)	[Carbonize Metal]
Magnetized Ferrite (3) <- Emeril (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (3) <- Pure Ferrite (1) + Condensed Carbon (1)	[Carbonize Metal]
Magnetized Ferrite (3) <- Pure Ferrite (2) + Pugneum (1)	[Matter Expansion]
Magnetized Ferrite (4) <- Activated Cadmium (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (4) <- Indium (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (4) <- Magnetized Ferrite (3) + Pugneum (1)	[Matter Expansion]
Magnetized Ferrite (5) <- Ferrite Dust (1) + Pure Ferrite (1) + Silver (1)	[Deep Metal Compression]
Magnetized Ferrite (6) <- Activated Emeril (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (8) <- Activated Indium (1) + Ferrite Dust (1)	[Stellar / Metal Fusion]
Magnetized Ferrite (8) <- Ferrite Dust (1) + Pure Ferrite (1) + Gold (1)	[Deep Metal Compression]
Magno-Gold (1) <- Phosphorus (30) + Cobalt (60) + Gold (10)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Cobalt (60) + Platinum (5)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Cobalt (60) + Silver (20)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Cobalt (60) + Tritium (20)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Ionized Cobalt (30) + Gold (10)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Ionized Cobalt (30) + Platinum (5)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Ionized Cobalt (30) + Silver (20)	[Alloy Latticing]
Magno-Gold (1) <- Phosphorus (30) + Ionized Cobalt (30) + Tritium (20)	[Alloy Latticing]
Marrow Bulb (1) <- Cobalt (1) + Nitrogen (1)	[Encourage Growth]
Marrow Bulb (3) <- Sodium (2) + Mordite (1)	[Fertilizer Synthesis]
Marrow Bulb (4) <- Sodium Nitrate (1) + Mordite (1)	[Fertilizer Synthesis]
Mordite (1) <- Carbon (1) + Pugneum (1)	[Anomaly / Organic Hybridization]
Mordite (1) <- Di-hydrogen (1) + Condensed Carbon (1)	[Organic Reassembly]
Mordite (2) <- Condensed Carbon (1) + Pugneum (1)	[Anomaly / Organic Hybridization]
Mordite (2) <- Faecium (3)	[Organic Reassembly]
Nanite Cluster (1) <- Faecium (1) + Hexite (1)	[Alchemical Construction]
Nanite Cluster (1) <- Platinum (35)	[Reality Warping]
Nanite Cluster (1) <- Pugneum (25)	[Reality Filtering]
Nanite Cluster (1) <- Runaway Mold (5)	[Recycle Waste Materials]
Nanite Cluster (1) <- Silver (15) + Gold (15) + Platinum (25)	[Transmutation]
Nanite Cluster (15) <- Salvaged Data (1)	[Nanite Extraction]
Nanite Cluster (50) <- Hadal Core (1)	[Doom Cycling]
Nanite Cluster (50) <- Larval Core (1)	[NOT RECOMMENDED]
Nitrogen (1) <- Radon (1) + Chromatic Metal (1)	[Gas Canalization]
Nitrogen (1) <- Radon (1) + Oxygen (1)	[Gas Transfer]
Nitrogen (1) <- Radon (3)	[Gas Transfer]
Nitrogen Salt (1) <- Nitrogen (100) + Carbon (20) + Chlorine (5)	[High-Speed Sublimation]
Nitrogen Salt (1) <- Nitrogen (100) + Carbon (20) + Salt (10)	[High-Speed Sublimation]
Nitrogen Salt (1) <- Nitrogen (100) + Condensed Carbon (10) + Chlorine (5)	[High-Speed Sublimation]
Nitrogen Salt (1) <- Nitrogen (100) + Condensed Carbon (10) + Salt (10)	[High-Speed Sublimation]
Oxygen (1) <- Kelp Sac (1)	[Extract Micro-Bubbles]
Oxygen (10) <- Cactus Flesh (1) + Kelp Sac (1) + Condensed Carbon (1)	[Artificial Photosynthesis]
Oxygen (10) <- Frost Crystal (1) + Kelp Sac (1) + Condensed Carbon (1)	[Artificial Photosynthesis]
Oxygen (10) <- Fungal Mold (1) + Kelp Sac (1) + Condensed Carbon (1)	[Artificial Photosynthesis]
Oxygen (10) <- Gamma Root (1) + Kelp Sac (1) + Condensed Carbon (1)	[Artificial Photosynthesis]
Oxygen (10) <- Solanium (1) + Kelp Sac (1) + Condensed Carbon (1)	[Artificial Photosynthesis]
Oxygen (10) <- Star Bulb (1) + Kelp Sac (1) + Condensed Carbon (1)	[Artificial Photosynthesis]
Oxygen (150) <- Superoxide Crystal (1)	[Oxygen Decompression]
Oxygen (2) <- Kelp Sac (1) + Carbon (1)	[Release Captured Oxygen]
Oxygen (2) <- Kelp Sac (1) + Condensed Carbon (1)	[Release Captured Oxygen]
Paraffinium (1) <- Pyrite (2) + Ferrite Dust (1)	[Environmental Element Transfer]
Paraffinium (1) <- Pyrite (2) + Pure Ferrite (1)	[Environmental Element Transfer]
Paraffinium (1) <- Star Bulb (2) + Salt (1)	[Floral Titration]
Paraffinium (1) <- Sulphurine (1) + Ferrite Dust (1)	[Loosen Bonds]
Paraffinium (2) <- Silver (1) + Oxygen (1)	[Mineral Alchemy]
Paraffinium (2) <- Sulphurine (1) + Pure Ferrite (1)	[Loosen Bonds]
Paraffinium (3) <- Sulphurine (1) + Magnetized Ferrite (1)	[Loosen Bonds]
Phosphorus (1) <- Dioxite (2) + Ferrite Dust (1)	[Environmental Element Transfer]
Phosphorus (1) <- Dioxite (2) + Pure Ferrite (1)	[Environmental Element Transfer]
Phosphorus (1) <- Solanium (2) + Salt (1)	[Floral Titration]
Platinum (1) <- Gold (1) + Silver (1)	[Transmutation]
Platinum (10) <- Ferrite Dust (1) + Oxygen (1) + Chromatic Metal (250)	[Chromatic Alchemy]
Platinum (250) <- Geodesite (1)	[Extreme Alloy Separation]
Platinum (250) <- Iridesite (1)	[Extreme Alloy Separation]
Pure Ferrite (1) <- Ferrite Dust (1)	[Extract Metallic Elements]
Pure Ferrite (150) <- Rare Metal Element (1)	[Rare Metal Detoxification]
Pure Ferrite (2) <- Magnetized Ferrite (1)	[Demagnetize Metal]
Pure Ferrite (3) <- Ferrite Dust (2) + Pugneum (1)	[Matter Expansion]
Pyrite (1) <- Cactus Flesh (2) + Salt (1)	[Floral Titration]
Pyrite (1) <- Gold (1)	[Metal Restructuring]
Pyrite (1) <- Uranium (2) + Ferrite Dust (1)	[Environmental Element Transfer]
Pyrite (1) <- Uranium (2) + Pure Ferrite (1)	[Environmental Element Transfer]
Pyrite (2) <- Gold (1) + Oxygen (1)	[Mineral Alchemy]
Radon (1) <- Sulphurine (1) + Chromatic Metal (1)	[Gas Canalization]
Radon (1) <- Sulphurine (1) + Oxygen (1)	[Gas Transfer]
Radon (1) <- Sulphurine (3)	[Gas Transfer]
Rare Metal Element (1) <- Ferrite Dust (35) + Pure Ferrite (35) + Magnetized Ferrite (35)	[Rare Metal Fusion]
Rare Metal Element (1) <- Magnetized Ferrite (25) + Oxygen (50)	[Rare Metal Detoxification]
Rare Metal Element (1) <- Oxygen (20) + Magnetized Ferrite (20) + Tritium (25)	[Rare Metal Fusion]
Runaway Mold (1) <- Living Slime (1)	[Recycle Waste Materials]
Rusted Metal (1) <- Ferrite Dust (1) + Oxygen (1)	[Oxidize Metal]
Rusted Metal (2) <- Pure Ferrite (1) + Oxygen (1)	[Oxidize Metal]
Salt (1) <- Di-hydrogen (1) + Oxygen (1)	[Rapid Formation / Evaporation]
Salt (2) <- Chlorine (1)	[Salt Production]
Silver (250) <- Aronium (1)	[Extreme Alloy Separation]
Silver (250) <- Dirty Bronze (1)	[Extreme Alloy Separation]
Silver (250) <- Herox (1)	[Extreme Alloy Separation]
Sodium (1) <- Marrow Bulb (1)	[Extract Organic Sodium]
Sodium (2) <- Marrow Bulb (1) + Carbon (1)	[Extract Organic Sodium]
Sodium (2) <- Marrow Bulb (1) + Condensed Carbon (1)	[Extract Organic Sodium]
Sodium (2) <- Sodium Nitrate (1)	[Free Sodium]
Sodium Nitrate (1) <- Carbon (1) + Sodium (1)	[Catalyze Carbon]
Sodium Nitrate (1) <- Nitrogen (1) + Ferrite Dust (1)	[Gas Canalization]
Sodium Nitrate (1) <- Nitrogen (1) + Sodium (1)	[Gas Canalization]
Sodium Nitrate (1) <- Sodium (1) + Oxygen (1)	[Oxygenate Sodium]
Sodium Nitrate (1) <- Sodium (1) + Pugneum (1)	[Sentinel Canalization]
Sodium Nitrate (1) <- Sodium (2)	[Process Sodium]
Sodium Nitrate (150) <- Destabilized Sodium (1)	[Sodium Stabilization]
Sodium Nitrate (2) <- Condensed Carbon (1) + Sodium (1)	[Catalyze Carbon]
Sodium Nitrate (2) <- Faecium (1) + Sodium (1)	[Feed Microbes]
Sodium Nitrate (2) <- Faecium (1) + Sodium Nitrate (1)	[Feed Microbes]
Sodium Nitrate (2) <- Kelp Sac (1) + Sodium (1)	[Harness Organic Nitrogen]
Sodium Nitrate (2) <- Kelp Sac (1) + Sodium Nitrate (1)	[Harness Organic Nitrogen]
Sodium Nitrate (2) <- Marrow Bulb (1) + Sodium (1)	[Harness Organic Nitrogen]
Sodium Nitrate (2) <- Marrow Bulb (1) + Sodium Nitrate (1)	[Harness Organic Nitrogen]
Sodium Nitrate (2) <- Nitrogen (1) + Pure Ferrite (1)	[Gas Canalization]
Sodium Nitrate (2) <- Nitrogen (1) + Sodium Nitrate (1)	[Gas Canalization]
Sodium Nitrate (2) <- Sodium Nitrate (1) + Oxygen (1)	[Oxygenate Sodium]
Sodium Nitrate (3) <- Nitrogen (1) + Magnetized Ferrite (1)	[Gas Canalization]
Sodium Nitrate (3) <- Sodium Nitrate (1) + Pugneum (1)	[Sentinel Canalization]
Sodium Nitrate (50) <- Crystal Sulphide (1)	[Sulphur Release]
Solanium (1) <- Phosphorus (1) + Sulphurine (1)	[Encourage Growth]
Solanium (1) <- Phosphorus (2) + Oxygen (1)	[Encourage Growth]
Solanium (1) <- Sulphurine (1) + Di-hydrogen (1)	[Sulphur Injection]
Solanium (2) <- Phosphorus (1) + Solanium (1)	[Organic Expansion]
Star Bulb (1) <- Paraffinium (1) + Nitrogen (1)	[Encourage Growth]
Star Bulb (1) <- Paraffinium (2) + Oxygen (1)	[Encourage Growth]
Star Bulb (2) <- Paraffinium (1) + Star Bulb (1)	[Organic Expansion]
Starship Launch Fuel (1) <- Di-hydrogen (10) + Ferrite Dust (20) + Sodium Nitrate (5)	[Di-hydrogen Capture]
Starship Launch Fuel (1) <- Di-hydrogen (10) + Magnetized Ferrite (10) + Sodium Nitrate (5)	[Di-hydrogen Capture]
Starship Launch Fuel (1) <- Di-hydrogen (10) + Pure Ferrite (20) + Sodium (10)	[Di-hydrogen Capture]
Sulphurine (1) <- Nitrogen (1) + Chromatic Metal (1)	[Gas Canalization]
Sulphurine (1) <- Nitrogen (1) + Oxygen (1)	[Gas Transfer]
Sulphurine (1) <- Nitrogen (3)	[Gas Transfer]
Superoxide Crystal (1) <- Oxygen (100) + Tritium (50)	[Oxygen Nucleation]
Superoxide Crystal (1) <- Oxygen (40) + Uranium (40) + Tritium (50)	[Oxygen Nucleation]
TetraCobalt (1) <- Cobalt (40) + Ionized Cobalt (40) + Tritium (50)	[Cobalt Supercharging]
TetraCobalt (1) <- Cobalt (50) + Ionized Cobalt (50)	[Cobalt Supercharging]
Thermic Condensate (1) <- Sulphurine (100) + Carbon (20) + Chlorine (5)	[High-Speed Sublimation]
Thermic Condensate (1) <- Sulphurine (100) + Carbon (20) + Salt (10)	[High-Speed Sublimation]
Thermic Condensate (1) <- Sulphurine (100) + Condensed Carbon (10) + Chlorine (5)	[High-Speed Sublimation]
Thermic Condensate (1) <- Sulphurine (100) + Condensed Carbon (10) + Salt (10)	[High-Speed Sublimation]
Unstable Plasma (1) <- Oxygen (10) + Condensed Carbon (10) + Pure Ferrite (20)	[Plasma Pressurization]
Unstable Plasma (1) <- Oxygen (10) + Ferrite Dust (20) + Carbon (20)	[Plasma Pressurization]
Unstable Plasma (1) <- Oxygen (10) + Ferrite Dust (20) + Condensed Carbon (10)	[Plasma Pressurization]
Unstable Plasma (1) <- Oxygen (10) + Pure Ferrite (20) + Carbon (20)	[Plasma Pressurization]
Uranium (1) <- Ferrite Dust (1) + Radon (1)	[Metal Enrichment]
Uranium (1) <- Gamma Root (2) + Salt (1)	[Floral Titration]
Uranium (1) <- Phosphorus (2) + Ferrite Dust (1)	[Environmental Element Transfer]
Uranium (1) <- Phosphorus (2) + Pure Ferrite (1)	[Environmental Element Transfer]
Uranium (1) <- Radon (1) + Di-hydrogen (1)	[Catalyze Radiation]
Uranium (2) <- Radon (1) + Pure Ferrite (1)	[Metal Enrichment]
Uranium (3) <- Radon (1) + Magnetized Ferrite (1)	[Metal Enrichment]
Viscous Fluids (1) <- Residual Goop (1)	[Recycle Waste Materials]
Warp Cell (1) <- Carbon (50) + Sodium Nitrate (5) + Chromatic Metal (250)	[Antimatter Bypass]
